area,cluster,time,hour,mean_load_MW
1,2,T1900,19.0,8033.333245270142
1,2,T1915,19.25,8072.419253535536
1,2,T1930,19.5,8044.693122274879
1,2,T1945,19.75,7967.696913289101
1,2,T2000,20.0,7847.841126218008
1,2,T2015,20.25,7825.096064151657
1,2,T2030,20.5,7822.87515374408
1,2,T2045,20.75,7785.55071636019
1,2,T2100,21.0,7662.424341232225
1,2,T2115,21.25,7569.291802995263
1,2,T2130,21.5,7461.833935469196
1,2,T2145,21.75,7313.667028170616
1,2,T2200,22.0,7159.595750976303
1,2,T2215,22.25,7003.555586578204
1,2,T2230,22.5,6820.87634032227
1,2,T2245,22.75,6599.1380194881485
1,2,T2300,23.0,6380.889776834121
1,2,T2315,23.25,6131.44097273934
1,2,T2330,23.5,5925.755235943127
1,2,T2345,23.75,5730.684297402849
1,3,T0000,0.0,7536.4592200000025
1,3,T0015,0.25,7455.1807088000005
1,3,T0030,0.5,7383.7185279999985
1,3,T0045,0.75,7338.244818400004
1,3,T0100,1.0,7271.0967200000005
1,3,T0115,1.25,7219.0026584
1,3,T0130,1.5,7157.408540800001
1,3,T0145,1.75,7099.7599359999995
1,3,T0200,2.0,7037.483696000001
1,3,T0215,2.25,6980.6937544
1,3,T0230,2.5,6930.1478136
1,3,T0245,2.75,6879.193392799998
1,3,T0300,3.0,6824.041408000003
1,3,T0315,3.25,6769.384495200002
1,3,T0330,3.5,6726.5406528
1,3,T0345,3.75,6684.9023336
1,3,T0400,4.0,6641.957748799999
1,3,T0415,4.25,6604.0908415999975
1,3,T0430,4.5,6565.589455999999
1,3,T0445,4.75,6533.020844799999
1,3,T0500,5.0,6504.0788207999985
1,3,T0515,5.25,6476.236703200002
1,3,T0530,5.5,6449.6315232000015
1,3,T0545,5.75,6434.2655736000015
1,3,T0600,6.0,6427.846289600002
1,3,T0615,6.25,6472.246561600003
1,3,T0630,6.5,6500.7689216
1,3,T0645,6.75,6551.100015199999
1,3,T0700,7.0,6606.979826400001
1,3,T0715,7.25,6729.757116799998
1,3,T0730,7.5,6955.213949599998
1,3,T0745,7.75,7437.554548799997
1,3,T0800,8.0,8569.849070400003
1,3,T0815,8.25,9688.815318400004
1,3,T0830,8.5,10122.731255199998
1,3,T0845,8.75,10407.458250400003
1,3,T0900,9.0,10576.048089599997
1,3,T0915,9.25,10730.812479999999
1,3,T0930,9.5,10842.623431199996
1,3,T0945,9.75,10962.940310400003
1,3,T1000,10.0,11039.232517599994
1,3,T1015,10.25,11116.136536799999
1,3,T1030,10.5,11193.3139056
1,3,T1045,10.75,11231.219703200004
1,3,T1100,11.0,11238.801407999998
1,3,T1115,11.25,11224.577357600005
1,3,T1130,11.5,11035.946532000002
1,3,T1145,11.75,10606.012494399998
1,3,T1200,12.0,9509.6500864
1,3,T1215,12.25,8635.6806672
1,3,T1230,12.5,8773.253878399999
1,3,T1245,12.75,8857.218744799997
1,3,T1300,13.0,8975.166220000005
1,3,T1315,13.25,9203.998596000001
1,3,T1330,13.5,9753.071252000002
1,3,T1345,13.75,10602.287708000002
1,3,T1400,14.0,10820.904274399998
1,3,T1415,14.25,11048.591894399999
1,3,T1430,14.5,11093.207939999995
1,3,T1445,14.75,11124.741666399997
1,3,T1500,15.0,11149.860331999998
1,3,T1515,15.25,11169.591678399996
1,3,T1530,15.5,11192.544766400002
1,3,T1545,15.75,11222.372596800005
1,3,T1600,16.0,11245.068674400001
1,3,T1615,16.25,11260.4153072
1,3,T1630,16.5,11241.783938399998
1,3,T1645,16.75,11162.662420799996
1,3,T1700,17.0,10988.784767999996
1,3,T1715,17.25,10711.618296000004
1,3,T1730,17.5,10013.803380000003
1,3,T1745,17.75,9316.439204000004
1,3,T1800,18.0,9112.186457599999
1,3,T1815,18.25,9111.626087999999
1,3,T1830,18.5,9360.193895199998
1,3,T1845,18.75,9713.770132000005
1,3,T1900,19.0,9836.650180800003
1,3,T1915,19.25,9974.622749600003
1,3,T1930,19.5,10015.879378399992
1,3,T1945,19.75,9982.487959999999
1,3,T2000,20.0,9867.860987999999
1,3,T2015,20.25,9837.385872800001
1,3,T2030,20.5,9828.836677599995
1,3,T2045,20.75,9771.430545600002
1,3,T2100,21.0,9642.057464
1,3,T2115,21.25,9514.9123536
1,3,T2130,21.5,9389.815371200002
1,3,T2145,21.75,9198.807860800001
1,3,T2200,22.0,9036.540635999998
1,3,T2215,22.25,8862.2430392
1,3,T2230,22.5,8702.860147200001
1,3,T2245,22.75,8506.1507984
1,3,T2300,23.0,8320.784560799999
1,3,T2315,23.25,8112.1846879999985
1,3,T2330,23.5,7938.687236800001
1,3,T2345,23.75,7770.400612800001
2,1,T0000,0.0,4030.9502801538465
2,1,T0015,0.25,3909.920533576924
2,1,T0030,0.5,3777.9484669615385
2,1,T0045,0.75,3667.207006730769
2,1,T0100,1.0,3553.8987213076934
2,1,T0115,1.25,3457.079633769231
2,1,T0130,1.5,3364.5170442692306
2,1,T0145,1.75,3283.4787673461537
2,1,T0200,2.0,3229.0442215384614
2,1,T0215,2.25,3166.3166085000007
2,1,T0230,2.5,3137.9571326153846
2,1,T0245,2.75,3083.5426471538453
2,1,T0300,3.0,3050.7957008461535
2,1,T0315,3.25,3007.282799153846
2,1,T0330,3.5,2977.0221158076924
2,1,T0345,3.75,2955.860215269232
2,1,T0400,4.0,2938.0960792307687
2,1,T0415,4.25,2933.9213074230775
2,1,T0430,4.5,2915.9102728076914
2,1,T0445,4.75,2918.378430346154
2,1,T0500,5.0,2933.9934866153844
2,1,T0515,5.25,2948.962825076922
2,1,T0530,5.5,2967.9323987692305
2,1,T0545,5.75,2990.9423545
2,1,T0600,6.0,3021.5528310384616
2,1,T0615,6.25,3098.321339576924
2,1,T0630,6.5,3173.0715579230773
2,1,T0645,6.75,3237.768461230769
2,1,T0700,7.0,3305.6485128076924
2,1,T0715,7.25,3401.454051076923
2,1,T0730,7.5,3495.6195431923084
2,1,T0745,7.75,3647.488029692308
2,1,T0800,8.0,3761.478583269231
2,1,T0815,8.25,3935.3584888461546
2,1,T0830,8.5,4074.845641653846
2,1,T0845,8.75,4204.978599461539
2,1,T0900,9.0,4300.248384346154
2,1,T0915,9.25,4407.919585653846
2,1,T0930,9.5,4489.143065423078
2,1,T0945,9.75,4577.001169846155
2,1,T1000,10.0,4656.954292846153
2,1,T1015,10.25,4754.8988154230765
2,1,T1030,10.5,4784.091502653847
2,1,T1045,10.75,4787.0842735
2,1,T1100,11.0,4857.662279346154
2,1,T1115,11.25,4970.069449692308
2,1,T1130,11.5,4982.776218384615
2,1,T1145,11.75,4967.880693192308
2,1,T1200,12.0,4871.995185884615
2,1,T1215,12.25,4763.236155692308
2,1,T1230,12.5,4663.3778604230765
2,1,T1245,12.75,4616.813801346154
2,1,T1300,13.0,4563.527940730769
2,1,T1315,13.25,4561.622420500001
2,1,T1330,13.5,4526.942286576922
2,1,T1345,13.75,4533.235903999999
2,1,T1400,14.0,4500.500149999999
2,1,T1415,14.25,4513.648608192308
2,1,T1430,14.5,4460.8664611153845
2,1,T1445,14.75,4465.9812263461545
2,1,T1500,15.0,4456.290512230768
2,1,T1515,15.25,4469.991478692307
2,1,T1530,15.5,4476.825647269231
2,1,T1545,15.75,4508.65643976923
2,1,T1600,16.0,4511.802172153846
2,1,T1615,16.25,4576.868537269231
2,1,T1630,16.5,4627.661072576922
2,1,T1645,16.75,4692.945881692308
2,1,T1700,17.0,4789.579098576924
2,1,T1715,17.25,4900.600970884615
2,1,T1730,17.5,5005.949402730768
2,1,T1745,17.75,5094.835218423077
2,1,T1800,18.0,5235.307835269231
2,1,T1815,18.25,5379.564373615385
2,1,T1830,18.5,5503.417066423077
2,1,T1845,18.75,5556.941991000001
2,1,T1900,19.0,5513.570101192308
2,1,T1915,19.25,5503.699019307692
2,1,T1930,19.5,5448.576724846154
2,1,T1945,19.75,5440.021309923076
2,1,T2000,20.0,5417.476114769232
2,1,T2015,20.25,5380.274227076922
2,1,T2030,20.5,5393.018952615385
2,1,T2045,20.75,5393.337161115385
2,1,T2100,21.0,5352.079781769231
2,1,T2115,21.25,5339.55174303846
2,1,T2130,21.5,5287.843266576922
2,1,T2145,21.75,5208.1270735384605
2,1,T2200,22.0,5128.339753384615
2,1,T2215,22.25,5022.641942461539
2,1,T2230,22.5,4910.5149752692305
2,1,T2245,22.75,4754.217308346154
2,1,T2300,23.0,4603.467407192307
2,1,T2315,23.25,4428.3477185
2,1,T2330,23.5,4284.1021262307695
2,1,T2345,23.75,4115.609652884616
2,2,T0000,0.0,6088.002558885164
2,2,T0015,0.25,5921.241196645936
2,2,T0030,0.5,5783.450967354068
2,2,T0045,0.75,5645.228054478472
2,2,T0100,1.0,5510.685132708134
2,2,T0115,1.25,5387.264639358852
2,2,T0130,1.5,5283.7941002727275
2,2,T0145,1.75,5192.407090669858
2,2,T0200,2.0,5109.5129485550215
2,2,T0215,2.25,5033.185324937798
2,2,T0230,2.5,4973.571239909089
2,2,T0245,2.75,4920.929629980858
2,2,T0300,3.0,4859.462112578948
2,2,T0315,3.25,4808.321923416266
2,2,T0330,3.5,4766.575156239237
2,2,T0345,3.75,4732.31812571292
2,2,T0400,4.0,4698.7824902200955
2,2,T0415,4.25,4689.8992993732045
2,2,T0430,4.5,4666.469231090911
2,2,T0445,4.75,4662.887098598085
2,2,T0500,5.0,4653.234806818183
2,2,T0515,5.25,4682.2930982105245
2,2,T0530,5.5,4706.20048307177
2,2,T0545,5.75,4741.277896435402
2,2,T0600,6.0,4782.496494435407
2,2,T0615,6.25,4919.578432511965
2,2,T0630,6.5,5043.873424952151
2,2,T0645,6.75,5189.368793550241
2,2,T0700,7.0,5343.050040416265
2,2,T0715,7.25,5546.008736248802
2,2,T0730,7.5,5714.745831153111
2,2,T0745,7.75,5933.361254751195
2,2,T0800,8.0,6302.178984942584
2,2,T0815,8.25,6853.5409905358865
2,2,T0830,8.5,7202.294588645932
2,2,T0845,8.75,7491.7664636411455
2,2,T0900,9.0,7692.324864770332
2,2,T0915,9.25,7899.927477373205
2,2,T0930,9.5,8048.742880751197
2,2,T0945,9.75,8193.687916832541
2,2,T1000,10.0,8315.524316177034
2,2,T1015,10.25,8433.644445952154
2,2,T1030,10.5,8522.669835076555
2,2,T1045,10.75,8572.085716966507
2,2,T1100,11.0,8625.001375100484
2,2,T1115,11.25,8721.216432071771
2,2,T1130,11.5,8674.635243837325
2,2,T1145,11.75,8498.095231306217
2,2,T1200,12.0,8048.820343373209
2,2,T1215,12.25,7669.9701533397165
2,2,T1230,12.5,7578.173885885167
2,2,T1245,12.75,7513.525859617226
2,2,T1300,13.0,7491.460043425836
2,2,T1315,13.25,7563.83205484689
2,2,T1330,13.5,7693.485788153104
2,2,T1345,13.75,7945.003446526317
2,2,T1400,14.0,7997.56255725837
2,2,T1415,14.25,8075.463011741629
2,2,T1430,14.5,8065.475289784696
2,2,T1445,14.75,8059.64298934928
2,2,T1500,15.0,8074.436883550237
2,2,T1515,15.25,8085.343518995212
2,2,T1530,15.5,8117.646400516745
2,2,T1545,15.75,8172.249718952156
2,2,T1600,16.0,8211.12091091866
2,2,T1615,16.25,8285.144499569376
2,2,T1630,16.5,8345.27351582775
2,2,T1645,16.75,8387.590332511963
2,2,T1700,17.0,8446.98361026794
2,2,T1715,17.25,8527.28187690431
2,2,T1730,17.5,8494.548605918662
2,2,T1745,17.75,8471.110456004782
2,2,T1800,18.0,8505.972500129184
2,2,T1815,18.25,8531.430791071767
2,2,T1830,18.5,8643.562393325365
2,2,T1845,18.75,8708.195670023919
2,2,T1900,19.0,8706.965802382778
2,2,T1915,19.25,8725.712886100473
2,2,T1930,19.5,8645.19365532057
2,2,T1945,19.75,8586.653377464114
2,2,T2000,20.0,8527.12693355981
2,2,T2015,20.25,8490.571153870815
2,2,T2030,20.5,8476.12308880383
2,2,T2045,20.75,8430.908346066986
2,2,T2100,21.0,8371.699571593299
2,2,T2115,21.25,8303.980442712915
2,2,T2130,21.5,8206.726537555025
2,2,T2145,21.75,8050.133410095695
2,2,T2200,22.0,7916.338724511967
2,2,T2215,22.25,7744.489634301435
2,2,T2230,22.5,7567.479545382775
2,2,T2245,22.75,7347.999044688994
2,2,T2300,23.0,7108.303701760764
2,2,T2315,23.25,6834.805956631582
2,2,T2330,23.5,6586.6168741435395
2,2,T2345,23.75,6324.459341464114
2,3,T0000,0.0,9076.608734669235
2,3,T0015,0.25,8943.289491761536
2,3,T0030,0.5,8809.111451892311
2,3,T0045,0.75,8672.739430953845
2,3,T0100,1.0,8528.19582633077
2,3,T0115,1.25,8388.046159792304
2,3,T0130,1.5,8273.296048461545
2,3,T0145,1.75,8141.340523330763
2,3,T0200,2.0,8011.654669115384
2,3,T0215,2.25,7910.503663799997
2,3,T0230,2.5,7800.623944853848
2,3,T0245,2.75,7717.733059707695
2,3,T0300,3.0,7626.58620983077
2,3,T0315,3.25,7526.965448907691
2,3,T0330,3.5,7459.518324746154
2,3,T0345,3.75,7391.574879192309
2,3,T0400,4.0,7319.772498307693
2,3,T0415,4.25,7262.787183792309
2,3,T0430,4.5,7205.037941299996
2,3,T0445,4.75,7165.82059283077
2,3,T0500,5.0,7123.885437923076
2,3,T0515,5.25,7105.792255500001
2,3,T0530,5.5,7074.9327023615415
2,3,T0545,5.75,7051.108750238463
2,3,T0600,6.0,7025.028205784617
2,3,T0615,6.25,7082.833764984615
2,3,T0630,6.5,7147.0950077153875
2,3,T0645,6.75,7222.742973000005
2,3,T0700,7.0,7336.22413107692
2,3,T0715,7.25,7476.087223799998
2,3,T0730,7.5,7627.060839784618
2,3,T0745,7.75,7921.313299776923
2,3,T0800,8.0,8451.213289530771
2,3,T0815,8.25,9184.708121584616
2,3,T0830,8.5,9693.957123230768
2,3,T0845,8.75,10117.497124846155
2,3,T0900,9.0,10441.814887799997
2,3,T0915,9.25,10765.389122623077
2,3,T0930,9.5,10993.101696469239
2,3,T0945,9.75,11215.185787115388
2,3,T1000,10.0,11388.17106542308
2,3,T1015,10.25,11556.600070923076
2,3,T1030,10.5,11680.338441769236
2,3,T1045,10.75,11763.987854976926
2,3,T1100,11.0,11848.015323446163
2,3,T1115,11.25,11967.78468709231
2,3,T1130,11.5,11953.025449138458
2,3,T1145,11.75,11793.426435715379
2,3,T1200,12.0,11308.352219523076
2,3,T1215,12.25,10898.076329200005
2,3,T1230,12.5,10934.870636323083
2,3,T1245,12.75,10956.481653576924
2,3,T1300,13.0,10970.63195910769
2,3,T1315,13.25,11064.42372663846
2,3,T1330,13.5,11185.077197530769
2,3,T1345,13.75,11469.073608007688
2,3,T1400,14.0,11520.723566607687
2,3,T1415,14.25,11622.15956911539
2,3,T1430,14.5,11618.420564584614
2,3,T1445,14.75,11605.579106915377
2,3,T1500,15.0,11609.718652800004
2,3,T1515,15.25,11572.2394339
2,3,T1530,15.5,11566.687673969234
2,3,T1545,15.75,11564.15971443846
2,3,T1600,16.0,11546.345306284613
2,3,T1615,16.25,11549.50422470001
2,3,T1630,16.5,11537.070509515379
2,3,T1645,16.75,11504.667999761532
2,3,T1700,17.0,11442.937137084615
2,3,T1715,17.25,11396.484628007693
2,3,T1730,17.5,11186.653099076928
2,3,T1745,17.75,10908.537452384617
2,3,T1800,18.0,10651.985444415388
2,3,T1815,18.25,10443.286554638458
2,3,T1830,18.5,10502.196217084616
2,3,T1845,18.75,10576.799738599995
2,3,T1900,19.0,10643.076770415386
2,3,T1915,19.25,10759.665642100004
2,3,T1930,19.5,10779.276943915382
2,3,T1945,19.75,10779.448325007688
2,3,T2000,20.0,10760.056641638459
2,3,T2015,20.25,10748.431254315385
2,3,T2030,20.5,10743.53095384616
2,3,T2045,20.75,10738.237312407695
2,3,T2100,21.0,10706.391983338463
2,3,T2115,21.25,10662.225485946145
2,3,T2130,21.5,10630.841535138461
2,3,T2145,21.75,10536.055701907693
2,3,T2200,22.0,10457.112910761543
2,3,T2215,22.25,10351.32714695385
2,3,T2230,22.5,10250.850879607688
2,3,T2245,22.75,10094.985455876924
2,3,T2300,23.0,9934.820842169232
2,3,T2315,23.25,9740.860969576925
2,3,T2330,23.5,9553.19778333846
2,3,T2345,23.75,9330.254233146154
