YMD,T0000,T0015,T0030,T0045,T0100,T0115,T0130,T0145,T0200,T0215,T0230,T0245,T0300,T0315,T0330,T0345,T0400,T0415,T0430,T0445,T0500,T0515,T0530,T0545,T0600,T0615,T0630,T0645,T0700,T0715,T0730,T0745,T0800,T0815,T0830,T0845,T0900,T0915,T0930,T0945,T1000,T1015,T1030,T1045,T1100,T1115,T1130,T1145,T1200,T1215,T1230,T1245,T1300,T1315,T1330,T1345,T1400,T1415,T1430,T1445,T1500,T1515,T1530,T1545,T1600,T1615,T1630,T1645,T1700,T1715,T1730,T1745,T1800,T1815,T1830,T1845,T1900,T1915,T1930,T1945,T2000,T2015,T2030,T2045,T2100,T2115,T2130,T2145,T2200,T2215,T2230,T2245,T2300,T2315,T2330,T2345
20090111,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601
20090112,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.11628,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,5211.748964,5792.035847,5754.51421,5729.360461,5748.041497,5705.715838,5770.17292,5617.820937,5517.814325,5408.782154,5451.313841,5298.656308,5298.656308,4957.150542,4818.893726,4518.372303,4427.257681,4176.331776
20090113,3978.718914,3795.623363,3683.457607,3681.730716,3525.647919,3519.24815,3413.903725,3267.654691,3265.83468,3247.552508,3243.295275,3164.251818,3019.769251,3022.705053,3054.157303,3071.015321,3032.774235,3015.620173,2940.539457,2947.992064,3002.887759,3080.014593,3085.287125,3088.28685,2984.781739,3151.682073,3250.67067,3392.476328,3284.007048,3492.726604,3711.322894,3920.40329,4085.34403,4463.16,4602.820115,4843.192517,4958.867927,5022.44551,5147.080131,5086.32389,5223.242106,5285.734647,5314.468084,5324.022681,5309.538059,5367.447738,5378.03296,5359.749721,5172.751957,4772.803109,4853.92838,4709.579285,4704.921636,4724.97949,4856.164909,4963.563018,5004.121628,4904.917303,4966.240412,5042.184137,4966.236629,4985.05977,4911.972113,4975.048109,5105.228996,5108.203889,5137.656193,5176.569392,5191.343462,5303.985682,5306.106102,5371.330066,5535.867771,5652.325098,5818.077146,5949.958734,5854.995346,5896.869761,5787.692187,5745.976464,5812.808882,5742.629285,5688.229745,5643.864564,5655.231315,5726.498282,5475.456365,5463.828684,5280.512846,5143.828109,5031.145246,4880.76537,4758.493766,4469.16333,4231.048215,4188.450568
20090114,4054.695231,3773.816308,3626.155342,3540.31655,3427.535329,3430.269177,3283.477525,3290.12639,3061.168269,3057.767837,3086.04421,3102.475913,3099.863412,2983.143215,2954.150497,2983.816007,3016.945387,2935.322409,2984.743618,2863.632619,2882.821159,2947.432956,3024.311567,3071.525929,3002.451259,3023.307229,3252.646657,3341.167402,3439.738705,3380.581703,3576.97479,3792.669713,4087.578619,4270.382879,4664.465361,4702.727787,4799.585682,4886.838734,5108.250255,5088.997598,5126.009597,5123.524457,5150.393166,5207.954227,5315.768175,5260.292517,5351.810271,5116.626011,4927.286958,4814.981522,4725.482047,4588.416003,4543.592303,4602.607491,4648.947689,4831.213405,4796.607491,4789.862014,4791.751768,4746.902072,4735.168273,4790.083659,4765.86208,4891.791554,4824.823627,4821.6138,4960.474441,5011.570937,5000.059268,5148.741644,5189.477861,5220.524457,5422.443537,5525.125797,5728.214309,5769.338914,5650.598207,5604.72778,5580.73968,5627.311999,5536.181275,5554.123462,5483.440823,5407.118701,5404.904482,5347.13264,5391.196151,5254.188404,5210.954728,5052.508914,4925.686167,4819.506669,4685.060304,4383.9013,4238.30333,4068.923676
20090115,3811.01833,3708.168454,3559.894351,3489.388737,3373.129387,3240.729625,3181.602402,3235.273084,3185.835579,3114.020271,3068.03713,2999.487327,2978.896555,3015.200551,2979.68759,2968.157491,2893.748791,2865.108183,2836.910671,2927.455127,2943.847739,2939.87491,2940.49377,2894.391707,2940.214507,2983.161645,3081.476965,3071.789769,3284.017039,3397.04852,3561.054277,3577.395867,3859.316958,4215.912335,4423.601266,4537.360247,4612.035115,4672.904458,4750.133142,4824.431941,4914.317088,5003.094301,5011.418356,4955.903898,5036.502459,5119.026858,5111.162583,5103.276677,4785.909943,4662.507804,4516.305427,4394.039934,4517.083076,4431.556818,4578.352253,4598.281291,4523.759877,4512.491193,4492.76537,4493.907254,4561.579498,4566.629318,4586.697163,4586.033586,4601.669695,4732.702533,4747.649457,4794.712014,4830.915033,4817.629622,4937.254581,4998.044869,5163.302023,5258.393742,5392.631751,5420.159769,5499.536809,5472.772278,5433.889828,5316.878437,5262.429136,5200.323043,5312.75778,5152.058462,5272.99069,5238.45093,5131.909622,5159.01472,5086.169466,5055.676061,4871.940213,4697.505986,4566.568693,4276.886826,4173.00875,3996.722599
20090116,3860.672533,3750.042093,3603.214551,3387.915,3340.686185,3276.095534,3087.899432,3198.010534,2994.511809,2968.047299,2890.608319,2919.337973,2910.907509,2797.299363,2845.780157,2752.557628,2752.816036,2840.588717,2905.377442,2748.351126,2856.753088,2815.571156,2842.456452,2942.329301,2917.745621,2939.519987,3113.947327,3151.162541,3096.044231,3329.48123,3458.497632,3547.403467,3801.525231,4047.815312,4147.160675,4370.540617,4477.227813,4517.071727,4607.584852,4604.05153,4649.330354,4707.976554,4806.17528,4758.347878,4904.059532,4941.096266,4927.753528,4881.031538,4631.570139,4527.212689,4409.685937,4306.312746,4417.502779,4382.543882,4450.681241,4509.032755,4442.615691,4474.711439,4438.864507,4520.939893,4421.055986,4537.146653,4519.930608,4502.131884,4544.411274,4486.98611,4557.438471,4558.992023,4603.6063,4746.540165,4775.696037,4827.580173,4846.41282,5210.86995,5248.965148,5376.389877,5262.116505,5177.251496,5259.338134,5093.848471,5131.799236,5113.386793,4893.660938,4930.448479,5070.091037,4952.581842,4853.90801,4862.813774,4744.82278,4764.50699,4669.513726,4539.471743,4380.341012,4077.578889,3932.320904,3912.4619
20090117,3556.799954,3498.367348,3432.795251,3301.204178,3201.071369,3237.673737,3150.277513,3038.98757,2839.451489,2919.414991,2836.693779,2823.900061,2860.523963,2690.235613,2648.625523,2791.823907,2698.595752,2675.113216,2646.588038,2641.127229,2629.203989,2649.568363,2710.587377,2790.549909,2676.696353,2713.67479,2798.835358,2970.084881,2853.895468,2988.49616,3089.412632,3212.183495,3519.25979,3724.029021,3854.103208,3968.999514,4049.157986,4139.015682,4287.448865,4310.768635,4423.796333,4306.217977,4450.199539,4404.27324,4500.130871,4567.438298,4563.790419,4560.658774,4306.961094,4023.456381,4192.5494,3986.538569,3982.166488,3903.018174,4029.654778,4038.229384,4145.212236,3989.886233,4029.559136,3945.231604,3950.558068,4180.507335,4057.167179,4087.760979,4058.820641,4170.029589,4150.21472,4258.092106,4350.696842,4458.12958,4504.636036,4458.792672,4613.360329,4844.741801,5078.194029,4985.043668,4971.728963,4979.613996,4876.185806,4763.117368,4785.031899,4858.149432,4700.671678,4726.00963,4697.605411,4638.82991,4557.202179,4503.459523,4637.13241,4416.164276,4323.821925,4161.252253,4033.202747,3881.170379,3859.381851,3726.153709
20090118,3541.412262,3449.053421,3205.019366,3124.57843,2965.860046,3004.799532,2922.59921,2887.405864,2776.85574,2603.561263,2604.107858,2627.758495,2651.504289,2524.042409,2574.757792,2580.594864,2402.503931,2493.041888,2546.658832,2452.615974,2435.060526,2463.462805,2466.41403,2519.942413,2613.074247,2631.089766,2721.410831,2634.939696,2696.276579,2719.782977,2820.010749,3015.028376,3187.125679,3402.70944,3492.536678,3514.095316,3603.172162,3799.962755,3754.446184,3926.919556,3802.602513,3840.31815,3912.356267,4015.376669,4053.371957,4075.625115,4169.420526,4176.936086,3917.157476,3879.138035,3795.932114,3832.605777,3736.548035,3682.229199,3737.159329,3742.307216,3612.667007,3650.669473,3575.923116,3559.326998,3655.175123,3623.618113,3642.97456,3714.900157,3736.739416,3668.698475,3768.272467,3759.855777,3865.784433,3956.093955,4086.039811,4094.854589,4219.741604,4585.426463,4615.155411,4679.280559,4729.095394,4646.463519,4534.111135,4554.416727,4515.389359,4541.30708,4455.691291,4359.629572,4492.418207,4489.042122,4377.034573,4292.778142,4334.629277,4183.024679,4099.53222,4022.748766,3821.433026,3693.977257,3483.939762,3412.065963
20090119,3274.681274,3127.090342,3023.887192,2870.728848,2909.32088,2802.340744,2612.767824,2599.259992,2597.27576,2562.952698,2388.010579,2448.501234,2344.482993,2353.624564,2311.017023,2452.206537,2359.867775,2404.717471,2395.444465,2294.859733,2260.345678,2279.665362,2442.472587,2419.972952,2512.114416,2496.979021,2598.391357,2642.160473,2684.124322,2749.286012,2925.04167,3024.540875,3243.991929,3474.558795,3592.363355,3716.665945,3712.021197,3820.303849,4032.417047,4108.883602,4161.4512,4165.190065,4224.961077,4178.806052,4260.254721,4280.759745,4406.918042,4404.945838,4237.767599,4070.918578,3858.774728,3792.878651,3768.361028,3909.858323,3809.761307,3938.529292,3847.743112,3834.072611,3915.796275,3846.79581,3801.864828,3855.318133,3941.020058,3976.891143,3927.028972,3869.808963,3866.695748,3990.84954,4118.073964,4042.793816,4196.628832,4239.641736,4451.420963,4601.855838,4758.651003,4759.399843,4763.655427,4783.807565,4656.010065,4506.670708,4621.909424,4607.980321,4607.194621,4503.625296,4513.703693,4332.687919,4322.638816,4335.238437,4313.599095,4194.878273,4110.217837,3911.761463,3823.803027,3605.653519,3571.149843,3397.978265
20090120,3323.833211,3141.692722,2952.45387,2962.6088,2809.574034,2707.080633,2630.17234,2618.621386,2474.231357,2491.15873,2517.839162,2433.756555,2532.367919,2321.624943,2413.276945,2329.355649,2345.243667,2232.792731,2350.5291,2392.219991,2323.262109,2428.008141,2300.486994,2418.143532,2403.635436,2557.267237,2456.766895,2642.362718,2499.516056,2758.443006,2905.778537,3034.120304,3191.553923,3294.932837,3451.888828,3518.626962,3511.625308,3591.354943,3614.744165,3748.500666,3707.195835,3882.423619,4013.126851,4021.917476,4119.054828,4064.903996,4216.55787,4084.522343,4044.539622,3881.584375,3814.83625,3779.100383,3597.089486,3676.04477,3664.218433,3720.21081,3735.173545,3620.460666,3733.904979,3739.041032,3670.582894,3599.25181,3691.02933,3724.339421,3791.217623,3757.296044,3696.068771,3783.73417,3798.100646,4004.182772,3857.193725,4088.268774,4280.277073,4424.229729,4509.524351,4621.641316,4481.575838,4497.431167,4411.654843,4400.457648,4318.484112,4298.699992,4328.522254,4207.962409,4313.005164,4188.405172,4172.696604,4099.196891,4093.766637,3905.172253,3831.674092,3779.730107,3627.090616,3511.777598,3340.770769,3308.44387
20090121,3141.29444,2992.569384,2842.120638,2819.890469,2726.47588,2673.643375,2588.856645,2484.025156,2371.03296,2485.882512,2304.232261,2380.618985,2416.668356,2303.038191,2365.363795,2315.837923,2291.529432,2213.372167,2360.281189,2118.884273,2251.075,2354.797973,2316.330683,2338.955933,2335.455494,2354.543639,2386.122668,2442.555716,2513.192668,2634.255749,2756.992759,2777.082623,2914.103659,3115.112491,3301.385568,3261.394893,3473.583072,3561.466624,3537.55787,3540.55032,3765.351118,3774.060748,3751.937376,3681.35067,3675.555987,3817.802607,3867.270764,3901.523404,3754.254124,3806.979153,3724.256389,3550.103947,3458.992623,3571.473532,3499.437064,3569.117014,3515.617731,3453.430449,3520.192348,3458.914926,3563.510123,3557.057586,3491.856611,3547.556242,3527.289547,3597.261176,3601.462343,3549.004646,3626.518704,3822.65639,3947.991933,3975.20829,4053.991884,4146.996357,4412.659375,4327.801447,4352.444588,4218.620575,4070.201554,4070.301464,4158.081711,4156.853594,4062.086825,4080.921703,4011.944227,3888.919515,3985.168832,3926.104465,3828.701818,3663.869136,3560.295349,3436.476789,3512.110502,3251.894713,3221.678922,3030.988659
20090122,2875.098116,2947.477673,2694.344824,2732.793005,2597.640383,2416.15639,2418.182623,2436.232965,2288.891711,2369.271925,2218.316645,2205.638939,2222.133692,2195.472854,2159.429885,2109.986463,2129.72412,2050.67009,2120.5906,2111.588515,2110.616381,2180.661633,2224.032952,2185.843664,2234.37451,2287.023297,2266.344643,2280.920736,2290.128849,2441.492887,2540.267405,2597.096892,2735.331592,2840.595604,2987.774383,3031.687253,3099.439716,3153.047639,3211.815962,3217.928902,3262.980164,3310.604351,3402.547159,3349.67275,3418.950538,3482.315206,3549.895979,3508.470189,3437.330486,3371.082105,3302.829025,3220.676718,3186.382368,3148.204235,3107.156842,3093.953396,3054.149252,3044.895646,3048.488914,3046.670358,3037.679622,3023.09218,3043.36421,3038.340386,3046.6981,3071.129975,3072.334133,3115.761809,3158.028783,3257.406932,3358.918014,3472.470967,3643.869482,3797.833314,3941.334144,3963.950567,3929.521678,3853.983413,3806.230119,3744.040897,3731.718696,3735.165009,3689.03986,3664.839136,3649.319815,3600.416974,3562.798725,3525.331505,3474.112401,3364.18977,3292.316941,3233.160909,3161.35986,2984.344366,2925.79051,2785.335868
