date,Area1_daily_max_MW,Area1_daily_min_MW,Area1_peak_valley_MW,Area1_load_factor,Area1_daily_mean_MW,Area2_daily_max_MW,Area2_daily_min_MW,Area2_peak_valley_MW,Area2_load_factor,Area2_daily_mean_MW
20140225,8356.948768,4373.581120,3983.367648,0.78093343,6526.220659,8533.955411,4169.199754,4364.755657,0.77804317,6639.785737
20140226,8434.630048,4398.453472,4036.176576,0.77788429,6561.166242,8699.571562,4156.708191,4542.863371,0.76835963,6684.399545
20140227,8486.443744,4480.610272,4005.833472,0.78139446,6631.260094,8535.362105,4211.335099,4324.027006,0.78105027,6666.546912
20140228,8435.266528,4508.931232,3926.335296,0.77307632,6521.104833,8227.439194,4154.408224,4073.030970,0.79676820,6555.361954
20140301,7916.575936,4281.351232,3635.224704,0.77356309,6123.970933,7899.142500,4012.695880,3886.446620,0.78582496,6207.343337
20140302,6283.750432,4073.148928,2210.601504,0.82458164,5181.465239,7445.670313,3844.135876,3601.534437,0.78367540,5834.988651
20140303,8489.124064,3645.530752,4843.593312,0.74944282,6362.113070,8630.876744,3843.433014,4787.443730,0.76699940,6619.877310
20140304,8650.005664,4523.150272,4126.855392,0.77972761,6744.648211,8742.322566,4225.942426,4516.380140,0.78248932,6840.774057
20140305,8671.084384,4618.593952,4052.490432,0.78302737,6789.696400,8638.477664,4292.714704,4345.762960,0.78882868,6814.278930
20140306,8722.522144,4648.965184,4073.556960,0.78370451,6835.879973,8734.903618,4292.314482,4442.589136,0.78699949,6874.364685
20140307,8806.289728,4679.208928,4127.080800,0.77951411,6864.627099,8762.114737,4326.743371,4435.371366,0.79019365,6923.767443
20140308,8486.447488,4629.935296,3856.512192,0.77575086,6583.368956,8316.853503,4356.174917,3960.678586,0.80755272,6716.297658
20140309,6948.262624,4392.547168,2555.715456,0.81467570,5660.580701,8073.643948,4227.477936,3846.166012,0.78434107,6332.490500
20140310,8786.989408,3975.628288,4811.361120,0.75905017,6669.765785,9056.537188,4093.939588,4962.597600,0.76992599,6972.863349
20140311,8859.755296,4708.738240,4151.017056,0.78421279,6947.933401,9021.452385,4493.005542,4528.446843,0.79067299,7133.018688
20140312,8942.209408,4743.033952,4199.175456,0.78294852,7001.289644,9183.609128,4455.170789,4728.438339,0.78268154,7187.841356
20140313,8867.327488,4768.422784,4098.904704,0.78579026,6967.859548,8943.986924,4526.032393,4417.954531,0.78459581,7017.414692
20140314,8855.770048,4756.741600,4099.028448,0.78591704,6959.900563,8718.607812,4399.722582,4318.885230,0.79549596,6935.617277
20140315,8639.177536,4768.850272,3870.327264,0.77711371,6713.623323,8184.108421,4384.264177,3799.844244,0.81176626,6643.583125
20140316,6628.163584,4419.459520,2208.704064,0.82681154,5480.242138,7602.806530,4153.534836,3449.271694,0.79699407,6059.391748
20140317,8777.256256,3846.498016,4930.758240,0.75539499,6630.295415,8994.639063,3926.282072,5068.356991,0.75420590,6783.809816
20140318,8969.029408,4815.788608,4153.240800,0.78690930,7057.812663,8986.855395,4444.766472,4542.088923,0.78476568,7052.575725
20140319,9020.151232,4892.204704,4127.946528,0.78935224,7120.076610,8991.564260,4542.507746,4449.056514,0.78982093,7101.725602
20140320,9217.942144,4950.636256,4267.305888,0.77780703,7169.780189,8996.515625,4504.932953,4491.582672,0.79069649,7113.513356
20140321,8886.791872,4881.594016,4005.197856,0.78988076,7019.505936,8745.971415,4436.368988,4309.602427,0.79373921,6942.020424
20140322,8508.785344,4845.589888,3663.195456,0.78849864,6709.165670,8443.816415,4406.964408,4036.852007,0.79329277,6698.418482
20140323,6797.730112,4515.483424,2282.246688,0.82733012,5623.966837,7750.129063,4293.689457,3456.439606,0.79816229,6185.860723
20140324,8772.533152,3993.926848,4778.606304,0.76239073,6688.097973,8950.344013,4096.664318,4853.679695,0.76770917,6871.261215
20140325,8984.940640,4850.103424,4134.837216,0.78740281,7074.767480,9201.645987,4506.241192,4695.404795,0.77722506,7151.749843
20140326,9105.078400,4914.362944,4190.715456,0.78619837,7158.397779,9164.492368,4574.736093,4589.756275,0.79007544,7240.640309
20140327,9218.425024,4955.427808,4262.997216,0.78467542,7233.471502,9244.599721,4663.584795,4581.014926,0.78834349,7287.920019
20140328,9276.102784,5033.821984,4242.280800,0.78564784,7287.750155,9258.678980,4754.773816,4503.905164,0.79688373,7378.090664
20140329,8974.684384,5021.182624,3953.501760,0.76969729,6907.790234,8757.751677,4667.305715,4090.445962,0.80038004,7009.529641
20140330,6870.969088,4368.150592,2502.818496,0.81743823,5616.592823,7895.529638,4279.682657,3615.846981,0.80203159,6332.464188
20140331,8395.684384,3756.245536,4639.438848,0.75133328,6307.957071,8530.334013,4023.360642,4506.973371,0.77892682,6644.505978
20140401,8710.562464,4487.429728,4223.132736,0.77462559,6747.424551,8637.615625,4322.046825,4315.568800,0.79100436,6832.391648
20140402,8925.363424,4656.014656,4269.348768,0.77485653,6915.876147,8837.119211,4358.848528,4478.270683,0.78912966,6973.632843
20140403,8893.529728,4756.444384,4137.085344,0.78350348,6968.111514,8875.359424,4496.906785,4378.452639,0.79355557,7043.090947
20140404,8677.266208,4794.100960,3883.165248,0.77238717,6702.209074,8579.675197,4591.106201,3988.568996,0.78933655,6772.251212
20140405,5105.030272,3281.321440,1823.708832,0.77405157,3951.556712,6482.231587,3989.429169,2492.802418,0.81012167,5251.396280
20140406,5762.720320,2566.772032,3195.948288,0.76978764,4436.070888,7267.808882,3558.694170,3709.114712,0.76913548,5589.929669
20140407,8222.567488,3522.892384,4699.675104,0.74832556,6153.157407,8383.155428,3925.697550,4457.457878,0.76774961,6436.164283
20140408,8900.337856,4585.813792,4314.524064,0.78068528,6948.362707,8915.721415,4338.158816,4577.562599,0.78502647,6999.077271
20140409,9184.004704,4845.730432,4338.274272,0.78260898,7187.484563,9157.727006,4597.640024,4560.086982,0.79450762,7275.883899
20140410,9180.878080,5027.365984,4153.512096,0.78911736,7244.790308,9136.335790,4730.808996,4405.526794,0.80404926,7346.064039
20140411,8734.273792,5062.290592,3671.983200,0.79386196,6933.807754,9329.645247,4751.306842,4578.338405,0.79555371,7422.233912
20140412,9082.616896,4983.842464,4098.774432,0.78198478,7102.468191,8970.899671,4791.382780,4179.516891,0.80819201,7250.209392
20140413,7684.008448,4936.813792,2747.194656,0.82350109,6327.789360,8679.774638,4716.050058,3963.724580,0.80302222,6970.051914
20140414,9472.905664,4616.212192,4856.693472,0.76535960,7250.179320,9774.574935,4938.673109,4835.901826,0.78686632,7691.283818
20140415,9190.604704,5143.387648,4047.217056,0.79212940,7280.148227,9388.374770,4929.348693,4459.026077,0.79752008,7487.417353
20140416,9346.288768,5097.333472,4248.955296,0.78286191,7316.853505,9241.158355,4814.638142,4426.520213,0.80734653,7460.817122
20140417,9645.761920,5139.495136,4506.266784,0.77719342,7496.622674,9816.556826,4853.204663,4963.352163,0.78480014,7704.035130
20140418,9813.578080,5285.087488,4528.490592,0.77855081,7640.369176,9943.827713,5009.205592,4934.622121,0.78879626,7843.654097
20140419,9409.106848,5312.789728,4096.317120,0.78660354,7401.236734,9346.405198,5084.940864,4261.464334,0.81188735,7588.228161
20140420,7559.821600,5077.397536,2482.424064,0.83495738,6312.128823,8595.941612,5088.771588,3507.170024,0.82441242,7086.601047
20140421,9788.332192,4582.460800,5205.871392,0.75817317,7421.250803,10226.813767,4898.503372,5328.310395,0.77582830,7934.251565
20140422,9833.003104,5395.470592,4437.532512,0.78455793,7714.560524,9977.771990,5225.052417,4752.719573,0.78896322,7872.095092
20140423,9432.568768,5390.667328,4041.901440,0.79402297,7489.676223,9464.343618,4995.522772,4468.820846,0.80076444,7578.709832
20140424,9526.597216,5244.063904,4282.533312,0.78567517,7484.810910,9572.580098,4917.131834,4655.448264,0.78983590,7560.767380
20140425,9768.308128,5278.571872,4489.736256,0.77805684,7600.298933,9662.276677,4979.568018,4682.708659,0.80094798,7738.980996
20140426,9479.668768,5369.151712,4110.517056,0.77168391,7315.307834,9507.064358,5057.024458,4450.039900,0.77372876,7355.889121
20140427,7976.902624,4995.121600,2981.781024,0.81089450,6468.426464,8489.522912,4787.137672,3702.385240,0.81311591,6902.966175
20140428,9565.324384,4652.985664,4912.338720,0.76078813,7277.185273,9487.048602,4589.914071,4897.134531,0.78871239,7482.552815
20140429,9516.270592,5292.985984,4223.284608,0.78568319,7476.773830,9529.720066,5021.608594,4508.111472,0.79522654,7578.286301
20140430,8788.641280,5056.815136,3731.826144,0.76647016,6736.231291,8722.776678,4647.866333,4074.910345,0.77652865,6773.485980
20140501,4871.148448,3028.529440,1842.619008,0.74829720,3645.066755,6295.650535,3800.530690,2495.119845,0.79128101,4981.628738
20140502,6321.967168,2418.670240,3903.296928,0.74131935,4686.596600,7481.089087,3277.799824,4203.289263,0.74696176,5588.087449
20140503,8128.562464,3812.498560,4316.063904,0.75806833,6162.005808,8421.884424,4020.700320,4401.184104,0.78330735,6596.923965
20140504,8488.226848,4598.966848,3889.260000,0.77959011,6617.337698,8996.773257,4579.802985,4416.970272,0.79079635,7114.615483
20140505,9107.141920,4718.913472,4388.228448,0.77368629,7046.070866,8946.797402,4587.635929,4359.161473,0.78818591,7051.739626
20140506,9098.774656,4964.923744,4133.850912,0.78355952,7129.431509,8898.831678,4575.716957,4323.114721,0.79718119,7093.981243
20140507,9090.221920,4963.538560,4126.683360,0.78714489,7155.321692,8973.903470,4636.230213,4337.673257,0.79861740,7166.715462
20140508,9324.657856,5007.484864,4317.172992,0.77721943,7247.305253,9141.212368,4662.304589,4478.907779,0.79470401,7264.558106
20140509,9244.729408,4981.709248,4263.020160,0.78160451,7225.722176,9330.845428,4701.021266,4629.824162,0.78310550,7307.036354
20140510,9011.378080,4995.826528,4015.551552,0.78160134,7043.305198,8803.298027,4722.637813,4080.660214,0.80687068,7103.123054
20140511,7258.962304,4732.896256,2526.066048,0.81570640,5921.182030,8145.548981,4681.537846,3464.011135,0.81869331,6668.706434
20140512,9353.224384,4123.791232,5229.433152,0.74595684,6977.101715,9492.486810,4536.172385,4956.314425,0.78890652,7488.684758
20140513,10079.062144,5211.021760,4868.040384,0.76769939,7737.689876,10665.212154,5058.228907,5606.983247,0.77360637,8250.676035
20140514,10447.502464,5474.380000,4973.122464,0.77530756,8100.027687,11043.084869,5565.759679,5477.325190,0.78935444,8716.908038
20140515,10627.072192,5811.040960,4816.031232,0.78377032,8329.183738,11301.407994,5965.046793,5336.361201,0.79264919,8958.051883
20140516,10778.977216,5900.667808,4878.309408,0.77119122,8312.652642,11648.599803,6007.942812,5640.656991,0.75862102,8836.872680
20140517,10176.809728,5553.763264,4623.046464,0.77055546,7841.796294,10480.650642,5771.943364,4708.707278,0.79111068,8291.354643
20140518,7801.870048,5144.233792,2657.636256,0.81750136,6378.039359,9141.814835,5352.405172,3789.409663,0.80865470,7392.571507
20140519,10395.805984,4487.940640,5907.865344,0.74020466,7695.024018,10745.601777,4990.349277,5755.252500,0.77210852,8296.770633
20140520,10438.706848,5493.087328,4945.619520,0.76007291,7934.178277,10816.379573,5546.526422,5269.853151,0.78453905,8485.872191
20140521,10419.394336,5427.289888,4992.104448,0.76725836,7994.367450,10571.127780,5524.070049,5047.057731,0.79931564,8449.667721
20140522,10588.039360,5727.390112,4860.649248,0.76904869,8142.717830,11111.261513,5710.032047,5401.229466,0.76521096,8502.459053
20140523,10092.940000,5528.608768,4564.331232,0.77378576,7809.773260,10393.976777,5343.255453,5050.721324,0.78359375,8144.655192
20140524,10016.677216,5405.656576,4611.020640,0.77397585,7752.666280,9983.401579,5369.344573,4614.057006,0.80564644,8043.091896
20140525,8384.347168,5447.268448,2937.078720,0.82985985,6957.833067,9528.577697,5607.264621,3921.313076,0.84100614,8013.592383
20140526,11028.272512,5273.980000,5754.292512,0.76315664,8416.299367,11703.431381,5753.679137,5949.752244,0.78511944,9188.591476
20140527,11303.090272,6322.930912,4980.159360,0.78870291,8914.780168,11949.853964,6483.463972,5466.389992,0.81118814,9693.579865
20140528,11446.854016,6446.249728,5000.604288,0.79275054,9074.499706,12267.929671,6712.107328,5555.822343,0.80546354,9881.370122
20140529,11438.706208,6643.212832,4795.493376,0.79595897,9104.740853,12403.072302,7034.589260,5368.483042,0.79917112,9912.177160
20140530,11410.881280,6538.951072,4871.930208,0.79189881,9036.263311,12216.965871,6850.623134,5366.342737,0.80875415,9880.521841
20140531,10464.719680,6441.498880,4023.220800,0.80076511,8379.782418,10861.512994,6835.835872,4025.677122,0.85180119,9251.849738
20140601,7429.777696,5669.739520,1760.038176,0.89053514,6616.478130,9509.148306,6641.469309,2867.678997,0.89288316,8490.558377
20140602,6020.841760,4411.769248,1609.072512,0.85684570,5158.932387,9457.709885,6248.401932,3209.307953,0.83438904,7891.409480
20140603,11047.105024,4421.425024,6625.680000,0.71704646,7921.287529,11627.919112,6388.707582,5239.211530,0.79898088,9290.485044
20140604,11381.346208,6045.184864,5336.161344,0.77907139,8866.881193,12199.821315,6510.061760,5689.759555,0.81043325,9887.140850
20140605,11512.152832,6634.985344,4877.167488,0.79333143,9132.952716,12602.270823,7292.302837,5309.967986,0.80433519,10136.449907
20140606,11074.570048,6310.619200,4763.950848,0.77671067,8601.736753,11829.035905,6585.211637,5243.824268,0.77712651,9192.657410
20140607,10410.746848,6011.516416,4399.230432,0.79053239,8230.032623,10644.345708,6206.434688,4437.911020,0.81182400,8641.335332
20140608,8809.465024,5810.220640,2999.244384,0.83765303,7379.275072,10085.194737,6075.408931,4009.785806,0.84334258,8505.274199
20140609,11242.483744,5548.287328,5694.196416,0.76611273,8613.009913,11945.955049,6459.575394,5486.379655,0.81219611,9702.458266
20140610,11216.948128,6352.387168,4864.560960,0.79231928,8887.404316,11965.621217,6885.836365,5079.784852,0.81821728,9790.478084
20140611,10909.721920,6435.121120,4474.600800,0.79805608,8706.569960,11566.842286,6718.840971,4848.001315,0.80026816,9256.575557
20140612,10792.825024,6195.618400,4597.206624,0.79181964,8545.970843,11422.766925,6210.760888,5212.006037,0.81022335,9254.992520
20140613,11022.499360,6164.839360,4857.660000,0.78982796,8705.878129,11904.200526,6549.139762,5355.060764,0.80422049,9573.602009
20140614,10749.228448,6346.202464,4403.025984,0.79734733,8570.868656,11161.219326,6767.057731,4394.161595,0.84903722,9476.290656
20140615,8140.544704,6089.043904,2051.500800,0.88940828,7240.267850,10687.067418,7287.653627,3399.413791,0.87431005,9343.810411
20140616,11740.916896,5665.360960,6075.555936,0.76206709,8947.366362,13133.570378,7570.958035,5562.612343,0.83394903,10952.728215
20140617,11633.611552,6942.007168,4691.604384,0.80839055,9404.501649,13362.511233,8214.718323,5147.792910,0.81015877,10825.755619
20140618,11630.796256,6658.287808,4972.508448,0.80013251,9306.178235,13089.044177,7466.509696,5622.534481,0.80914339,10590.913556
20140619,11740.496896,6883.744864,4856.752032,0.80303581,9428.039422,13018.221858,7799.821193,5218.400665,0.81985261,10673.023116
20140620,11697.428128,6848.054656,4849.373472,0.79723908,9325.646877,12844.154194,7632.809309,5211.344885,0.81271798,10438.675106
20140621,10982.565664,6620.135296,4362.430368,0.79965644,8782.279329,11165.201661,7058.376958,4106.824703,0.84102561,9390.220554
20140622,8573.687488,6007.914496,2565.772992,0.84688628,7260.938270,9937.591777,6366.264498,3571.327279,0.84891127,8436.133634
20140623,11208.876256,5461.186528,5747.689728,0.76400887,8563.680924,12111.068158,6232.794244,5878.273914,0.77542590,9391.235920
20140624,11043.536896,6136.384384,4907.152512,0.78998820,8724.263828,11980.856037,6289.655838,5691.200199,0.79090094,9475.670248
20140625,11186.269408,6295.525504,4890.743904,0.79203395,8859.905160,11900.624621,6669.562352,5231.062269,0.80397047,9567.750819
20140626,11615.302144,6401.811232,5213.490912,0.78815095,9154.611471,12450.722582,6742.332722,5708.389860,0.81332004,10126.422180
20140627,11682.457216,6725.954656,4956.502560,0.79923888,9337.074075,12813.097122,7308.622311,5504.474811,0.82785769,10607.420965
20140628,11222.603104,6824.812192,4397.790912,0.80704954,9057.196723,12082.947664,7722.016135,4360.931529,0.85709643,10356.251360
20140629,8786.334016,6349.618240,2436.715776,0.86603728,7609.292850,10771.912154,7580.615937,3191.296217,0.89740781,9666.798058
20140630,11042.411872,5674.098016,5368.313856,0.77636613,8572.954610,12763.522944,7252.474540,5511.048404,0.81410741,10390.878647
20140701,11012.050048,6335.672992,4676.377056,0.80179128,8829.365741,12269.233060,7509.853273,4759.379787,0.82959632,10178.510541
20140702,11736.259360,6426.434656,5309.824704,0.78488006,9211.555990,12734.556513,7198.616842,5535.939671,0.80962248,10310.183228
20140703,11860.913152,6858.550912,5002.362240,0.80053655,9495.094479,12724.616826,7283.680313,5440.936513,0.82634644,10514.941876
20140704,11964.580000,7009.982464,4954.597536,0.80211747,9596.998652,13103.815822,7653.079787,5450.736035,0.82669568,10832.867877
20140705,11495.411872,7149.414016,4345.997856,0.81085302,9321.089482,12122.099095,7909.240394,4212.858701,0.86604847,10498.325401
20140706,8947.781920,6729.688768,2218.093152,0.88866275,7951.560522,11359.445131,7965.293881,3394.151250,0.88366067,10037.894934
20140707,11926.936576,6263.542144,5663.394432,0.78465365,9358.514272,13452.500461,7869.745098,5582.755363,0.82161337,11052.754198
20140708,12069.315616,7262.853472,4806.462144,0.79801607,9631.507781,13258.295888,8160.783898,5097.511990,0.81576630,10815.670916
20140709,12060.300640,6772.758400,5287.542240,0.79466058,9583.845516,13046.987402,7137.018059,5909.969343,0.81157112,10588.558241
20140710,11998.928128,7283.992192,4714.935936,0.81281529,9752.912236,13486.766875,8081.985560,5404.781315,0.81715442,11020.771184
20140711,11855.494336,7104.897376,4750.596960,0.79913503,9474.140837,12583.146497,7745.800535,4837.345962,0.81818063,10295.286771
20140712,11219.901280,6766.732192,4453.169088,0.79907051,8965.492243,11333.348833,7054.184424,4279.164409,0.83399625,9451.970388
20140713,8722.508128,6241.076416,2481.431712,0.86382501,7534.720637,10644.634671,6768.930995,3875.703676,0.84957899,9043.457991
20140714,11979.581920,5938.731232,6040.850688,0.76767502,9196.425773,13001.845542,7080.548248,5921.297294,0.80961573,10526.498620
20140715,11986.306528,7050.335296,4935.971232,0.80194832,9612.398328,13001.128421,7732.635016,5268.493405,0.82621142,10741.680793
20140716,11962.446208,6959.636416,5002.809792,0.80055319,9576.574461,12831.853042,7601.543396,5230.309646,0.82947590,10643.712872
20140717,12041.905024,7005.775936,5036.129088,0.79999912,9633.513377,12987.545608,7634.853002,5352.692606,0.82995041,10779.018753
20140718,11776.160320,7035.348928,4740.811392,0.78280971,9218.492643,12563.933125,7732.384465,4831.548660,0.80089119,10062.343329
20140719,11073.068128,6301.835296,4771.232832,0.78531040,8695.795569,10924.441744,6463.781217,4460.660527,0.82956089,9062.489563
20140720,8635.207168,6197.307808,2437.899360,0.86842813,7499.056814,10095.422417,6479.461267,3615.961150,0.86466445,8729.152861
20140721,11535.032512,5753.382784,5781.649728,0.77037301,8886.277678,12264.493931,6632.243833,5632.250098,0.79706963,9775.655682
20140722,12055.167808,6748.075936,5307.091872,0.79230080,9551.319117,12640.636069,6760.899589,5879.736480,0.81766369,10335.789132
20140723,12255.683104,7250.280160,5005.402944,0.81041524,9932.192387,13423.483881,7761.509976,5661.973905,0.82956604,11135.666395
20140724,12296.850592,7516.443424,4780.407168,0.80627175,9914.603284,13536.749326,8364.611744,5172.137582,0.81918056,11089.041954
20140725,11619.181600,6804.534976,4814.646624,0.80077791,9304.383911,12432.128652,7107.554309,5324.574343,0.81854702,10176.281917
20140726,11118.878080,6734.953792,4383.924288,0.79329074,8820.503056,11322.054638,7096.314531,4225.740107,0.83577886,9462.733934
20140727,8744.010592,6119.041600,2624.968992,0.85309738,7459.492490,10005.430279,6575.268264,3430.162015,0.86300280,8634.714366
20140728,11652.359680,5649.053632,6003.306048,0.76447377,8907.923293,12485.346053,6514.158264,5971.187789,0.79914476,9977.598869
20140729,11844.799360,6803.496256,5041.303104,0.79813940,9453.801067,12665.300938,7297.724943,5367.575995,0.82895865,10499.010731
20140730,11956.045024,6976.223584,4979.821440,0.80218950,9591.013836,12883.807697,7675.760715,5208.046982,0.83614401,10772.718679
20140731,11964.129088,7111.430272,4852.698816,0.80469654,9627.493275,13200.573322,7937.729391,5262.843931,0.83573122,11032.131297
20140801,11958.612832,7144.677376,4813.935456,0.79189637,9469.982113,13390.088042,8220.513685,5169.574357,0.82478048,11043.883269
20140802,11304.133792,6578.293792,4725.840000,0.78439232,8866.875708,12040.760230,7632.858585,4407.901645,0.83155948,10012.608314
20140803,8808.347488,6124.718560,2683.628928,0.85955597,7571.267698,10444.821267,6856.233323,3588.587944,0.87563710,9145.872963
